"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2025-10-02","10:09","인천","부평구","항동로","인천광역시 부평구 부개동 378도","인천광역시 부평구 일신동 398-19 도","23","72","10","매우좋음"
"2025-10-02","09:54","인천","부평구","수변로","인천광역시 부평구 삼산동 156-3 도","인천광역시 부평구 부개동 375-1도","23","73","13","매우좋음"
"2025-10-02","09:43","인천","부평구","체육관로","인천광역시 부평구 삼산동 395-9도","인천광역시 부평구 갈산동 414도","22","76","21","매우좋음"
"2025-10-02","09:19","인천","부평구","평천로","인천광역시 부평구 청천동 372-6천","인천광역시 부평구 삼산동 106-212 도","23","76","25","매우좋음"
"2025-10-02","14:53","인천","남동구","서창남로","인천광역시 남동구 서창동 770도","인천광역시 남동구 수산동 393-7도","26","57","7","매우좋음"
"2025-10-02","14:42","인천","남동구","서창방산로","인천광역시 남동구 서창동 748 도","인천광역시 남동구 운연동 513-8 천","26","58","17","매우좋음"
"2025-10-02","14:22","인천","남동구","서창남순환로","인천광역시 남동구 서창동 754도","인천광역시 남동구 서창동 753도","26","56","4","매우좋음"
"2025-10-02","14:10","인천","남동구","장아산로","인천광역시 남동구 장수동 613-3도","인천광역시 남동구 서창동 631 도","26","56","7","매우좋음"
"2025-10-02","13:49","인천","남동구","구월로","인천광역시 남동구 간석동 925도","인천광역시 남동구 만수동 990도","26","54","4","매우좋음"
"2025-10-02","13:16","인천","남동구","문화로","인천광역시 남동구 간석동 397-1 도","인천광역시 남동구 구월동 1335-4 도","26","54","4","매우좋음"
"2025-10-02","12:48","인천","남동구","인주대로","인천광역시 남동구 운연동 107-1도","인천광역시 남동구 구월동 1335-5 도","26","53","9","매우좋음"
"2025-10-02","12:46","인천","남동구","수인로","인천광역시 남동구 장수동 657-2도","인천광역시 남동구 운연동 49-9도","26","52","2","매우좋음"
"2025-10-02","12:26","인천","남동구","백범로","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 장수동 657-2도","26","51","86","좋음"
"2025-10-02","12:09","인천","남동구","석정로","인천광역시 남동구 간석동 613-6도","인천광역시 남동구 간석동 618-5도","26","51","3","매우좋음"
"2025-10-02","11:05","인천","남동구","예술로","인천광역시 남동구 구월동 1335-4 도","인천광역시 부평구 십정동 526-7도","24","57","20","매우좋음"
"2025-10-02","10:57","인천","남동구","인하로","인천광역시 남동구 구월동 1583 도","인천광역시 남동구 구월동 1335-4 도","24","57","19","매우좋음"
"2025-10-02","10:40","인천","남동구","매소홀로","인천광역시 남동구 운연동 229-20 답","인천광역시 남동구 구월동 828-2천","24","61","65","좋음"
"2025-10-02","10:36","인천","남동구","장승남로","인천광역시 남동구 수산동 13-15도","인천광역시 남동구 만수동 1037-1잡","23","65","14","매우좋음"
"2025-10-02","10:26","인천","남동구","담방로","인천광역시 남동구 장수동 681-2도","인천광역시 남동구 만수동 1070도","24","65","16","매우좋음"
"2025-10-02","10:18","인천","남동구","수현로","인천광역시 남동구 만수동 822-40 도","인천광역시 남동구 장수동 397-6 도","23","69","27","매우좋음"
"2025-10-02","10:13","인천","남동구","만수서로","인천광역시 남동구 만수동 990도","인천광역시 남동구 만수동 391도","23","66","4","매우좋음"
"2025-10-02","09:54","인천","남동구","석산로","인천광역시 남동구 간석동 396구","인천광역시 남동구 간석동 923-3도","23","68","2","매우좋음"
"2025-10-02","09:43","인천","남동구","경인로","인천광역시 남동구 간석동 776도","인천광역시 남동구 간석동 540도","23","69","2","매우좋음"
"2025-10-02","13:10","서울","강남구","헌릉로","서울특별시 강남구 세곡동 486-2천","서울특별시 강남구 세곡동 468-43 도","27","51","8","매우좋음"
"2025-10-02","12:22","서울","강남구","밤고개로21길","서울특별시 강남구 율현동 66-1잡","서울특별시 강남구 율현동 242-6 도","26","57","6","매우좋음"
"2025-10-02","12:11","서울","강남구","자곡로","서울특별시 강남구 세곡동 389-5 도","서울특별시 강남구 자곡동 45-9 천","25","57","15","매우좋음"
"2025-10-02","12:02","서울","강남구","밤고개로","서울특별시 강남구 수서동 357도","서울특별시 강남구 세곡동 150-1천","26","58","23","매우좋음"
"2025-10-02","11:54","서울","강남구","광평로","서울특별시 강남구 개포동 146-5 도","서울특별시 강남구 수서동 85-4 천","24","61","3","매우좋음"
"2025-10-02","11:35","서울","강남구","일원로","서울특별시 강남구 일원동 734-2 도","서울특별시 강남구 일원동 700-9 도","24","61","6","매우좋음"
"2025-10-02","11:16","서울","강남구","개포로","서울특별시 서초구 양재동 261-24 도","서울특별시 강남구 일원동 474-1 도","24","64","4","매우좋음"
"2025-10-02","10:50","서울","강남구","논현로","서울특별시 강남구 압구정동 374천","서울특별시 강남구 도곡동 207 도","25","59","14","매우좋음"
"2025-10-02","10:11","서울","강남구","언주로","서울특별시 강남구 개포동 산53-25임","서울특별시 성동구 성수동1가 701-1천","24","66","9","매우좋음"
"2025-10-02","13:32","경기","동두천시","삼육사로","경기도 동두천시 상패동 1081-10 잡","경기도 동두천시 탑동동 산40 임","26","58","7","매우좋음"
"2025-10-02","13:21","경기","동두천시","상패로","경기도 동두천시 보산동 441-3 도","경기도 동두천시 상패동 114-3 도","26","59","6","매우좋음"
"2025-10-02","13:12","경기","동두천시","장고갯로","경기도 동두천시 생연동 365-6 도","경기도 동두천시 보산동 438-34 전","26","59","9","매우좋음"
"2025-10-02","12:55","경기","동두천시","동두천로","경기도 동두천시 생연동 567-30 도","경기도 동두천시 송내동 698-22 도","26","58","8","매우좋음"
"2025-10-02","12:44","경기","동두천시","중앙로","경기도 동두천시 송내동 698-21 도","경기도 동두천시 생연동 산 13-4 임","25","61","8","매우좋음"
"2025-10-02","12:36","경기","동두천시","동우로","경기도 동두천시 송내동 산 32-1 임","경기도 동두천시 송내동 341-6 도","25","63","38","매우좋음"
"2025-10-02","11:40","경기","동두천시","지행로","경기도 동두천시 지행동 697 도","경기도 동두천시 지행동 77-1 전","23","67","11","매우좋음"
"2025-10-02","11:35","경기","동두천시","이담로","경기도 동두천시 지행동 160-3 도","경기도 동두천시 지행동 725-7 도","23","69","7","매우좋음"
"2025-10-02","11:31","경기","동두천시","행선로","경기도 동두천시 생연동 396-2 도","경기도 동두천시 지행동 384 도","23","70","6","매우좋음"
"2025-10-02","11:26","경기","동두천시","정장로","경기도 동두천시 생연동 820-1 도","경기도 동두천시 생연동 224-5 도","23","72","6","매우좋음"
"2025-10-02","10:53","경기","동두천시","강변로","경기도 동두천시 송내동 467-4 도","경기도 동두천시 하봉암동 327-38 장","22","77","12","매우좋음"
"2025-10-02","10:20","경기","동두천시","평화로","경기도 동두천시 하봉암동 157-11 도","경기도 양주시 봉양동 801-3답","21","81","10","매우좋음"
"2025-10-14","16:55","인천","부평구","부평북로","인천광역시 부평구 삼산동 395-3도","인천광역시 부평구 청천동 372-5도","22","70","5","매우좋음"
"2025-10-14","16:43","인천","부평구","굴포로","인천광역시 부평구 갈산동 187도","인천광역시 부평구 삼산동 482 도","22","70","5","매우좋음"
"2025-10-14","16:18","인천","부평구","주부토로","인천광역시 부평구 부평동 224-1도","인천광역시 부평구 갈산동 423도","21","71","37","매우좋음"
"2025-10-14","16:06","인천","부평구","원적로","인천광역시 부평구 산곡동 산98-24도","인천광역시 부평구 부평동 431-40도","21","71","3","매우좋음"
"2025-10-14","15:47","인천","부평구","길주로","인천광역시 부평구 삼산동 466도","인천광역시 부평구 산곡동 산98-27임","22","69","3","매우좋음"
"2025-10-14","15:44","인천","부평구","부개로","인천광역시 부평구 부개동 509도","인천광역시 부평구 부개동 503도","21","72","4","매우좋음"
"2025-10-14","15:38","인천","부평구","부흥로","인천광역시 부평구 산곡동 산65-1임","인천광역시 부평구 부개동 510도","21","70","6","매우좋음"
"2025-10-14","15:30","인천","부평구","대정로","인천광역시 부평구 부평동 224-1도","인천광역시 부평구 부평동 224-1도","21","71","14","매우좋음"
"2025-10-14","15:23","인천","부평구","부일로","인천광역시 부평구 부개동 495도","인천광역시 부평구 부평동 224-1도","21","72","11","매우좋음"
"2025-10-14","14:57","인천","부평구","부평대로","인천광역시 부평구 갈산동 423도","인천광역시 부평구 부평동 224-1도","22","68","2","매우좋음"
"2025-10-14","14:33","인천","부평구","장제로","인천광역시 부평구 부평동 650-25 도","인천광역시 부평구 갈산동 447도","22","68","9","매우좋음"
"2025-10-14","13:47","서울","강서구","화곡로","서울특별시 마포구 상암동 496-155천","서울특별시 강서구 화곡동 1089-60도","22","67","4","매우좋음"
"2025-10-14","13:23","서울","강서구","강서로","서울특별시 강서구 화곡동 951-6 도","서울특별시 강서구 가양동 439-1제","22","67","4","매우좋음"
"2025-10-14","13:19","서울","강서구","가로공원로","서울특별시 강서구 화곡동 662-19도","서울특별시 강서구 화곡동 662-10도","21","68","8","매우좋음"
"2025-10-14","13:09","서울","강서구","국회대로","서울특별시 양천구 목동 409-384천","서울특별시 양천구 신월동 835도","22","68","7","매우좋음"
"2025-10-14","13:01","서울","강서구","등촌로","서울특별시 양천구 목동 605-21도","서울특별시 강서구 화곡동 939-4도","21","68","3","매우좋음"
"2025-10-14","12:45","서울","강서구","허준로","서울특별시 강서구 가양동 1457-6도","서울특별시 강서구 가양동 1484-6도","21","69","8","매우좋음"
"2025-10-14","12:25","서울","강서구","마곡중앙로","서울특별시 강서구 내발산동 751-2 도","서울특별시 강서구 마곡동 228-5제","22","69","4","매우좋음"
"2025-10-14","12:22","서울","강서구","수명로","서울특별시 강서구 외발산동 213도","서울특별시 강서구 내발산동 751-2 도","21","71","2","매우좋음"
"2025-10-14","12:10","서울","강서구","남부순환로","서울특별시 강서구 방화동 886-15 도","서울특별시 강서구 외발산동 산91-8 임","21","70","6","매우좋음"
"2025-10-14","11:59","서울","강서구","하늘길","서울특별시 강서구 방화동 886-15 도","서울특별시 강서구 외발산동 423-1도","21","71","3","매우좋음"
"2025-10-14","11:50","서울","강서구","금낭화로","서울특별시 강서구 방화동 813-17도","서울특별시 강서구 방화동 산 63-2 도","20","74","19","매우좋음"
"2025-10-14","11:40","서울","강서구","방화대로","서울특별시 강서구 외발산동 산71-15 임","서울특별시 강서구 방화동 46-1 제","21","73","13","매우좋음"
"2025-10-14","11:25","서울","강서구","마곡중앙5로","서울특별시 강서구 방화동 217-156 도","서울특별시 강서구 마곡동 278-6답","20","73","22","매우좋음"
"2025-10-14","11:20","서울","강서구","초원로","서울특별시 강서구 방화동 651-1도","서울특별시 강서구 방화동 217-156 도","20","73","14","매우좋음"
"2025-10-14","10:47","서울","강서구","양천로","서울특별시 강서구 염창동 259-8제","서울특별시 강서구 방화동 515-4도","20","74","49","매우좋음"
"2025-10-14","10:14","서울","강서구","공항대로","서울특별시 강서구 방화동 621-4도","서울특별시 양천구 목동 560도","19","76","6","매우좋음"
"2025-10-14","10:09","서울","강서구","개화동로","서울특별시 강서구 개화동 659천","서울특별시 강서구 방화동 886-15 도","19","80","7","매우좋음"
"2025-10-14","15:07","인천","남동구","은청로","인천광역시 남동구 고잔동 768도","인천광역시 남동구 고잔동 748도","21","65","14","매우좋음"
"2025-10-14","14:52","인천","남동구","논현로","인천광역시 남동구 논현동 693도","인천광역시 남동구 논현동 714도","21","65","3","매우좋음"
"2025-10-14","14:31","인천","남동구","은봉로","인천광역시 남동구 논현동 471-4도","인천광역시 남동구 논현동 26-1 도","21","65","10","매우좋음"
"2025-10-14","14:03","인천","남동구","청능대로","인천광역시 남동구 논현동 26-1 도","인천광역시 남동구 고잔동 743제","22","63","7","매우좋음"
"2025-10-14","13:55","인천","남동구","포구로","인천광역시 남동구 논현동 685도","인천광역시 남동구 논현동 111-339 도","21","65","5","매우좋음"
"2025-10-14","13:49","인천","남동구","소래역로","인천광역시 남동구 논현동 727-1도","인천광역시 남동구 논현동 685도","21","64","12","매우좋음"
"2025-10-14","13:34","인천","남동구","논고개로","인천광역시 남동구 도림동 26-9 도","인천광역시 남동구 논현동 809 도","21","65","3","매우좋음"
"2025-10-14","13:28","인천","남동구","비류대로","인천광역시 남동구 남촌동 632천","인천광역시 남동구 논현동 1-25유","21","65","3","매우좋음"
"2025-10-14","13:16","인천","남동구","남동서로","인천광역시 남동구 고잔동 788-1도","인천광역시 남동구 남촌동 635도","21","63","7","매우좋음"
"2025-10-14","13:10","인천","남동구","능허대로","인천광역시 남동구 고잔동 744-1 천","인천광역시 남동구 고잔동 801 도","22","63","10","매우좋음"
"2025-10-14","12:41","인천","남동구","앵고개로","인천광역시 남동구 논현동 26-1 도","인천광역시 남동구 고잔동 744천","21","64","4","매우좋음"
"2025-10-14","12:24","인천","남동구","논현고잔로","인천광역시 남동구 고잔동 512-27 도","인천광역시 남동구 논현동 685도","21","66","21","매우좋음"
"2025-10-14","12:15","인천","남동구","아암대로","인천광역시 남동구 논현동 111-463 도","인천광역시 남동구 고잔동 793 도","20","67","4","매우좋음"
"2025-10-14","12:00","인천","남동구","소래로","인천광역시 남동구 만수동 990도","인천광역시 남동구 논현동 111-392 도","21","67","5","매우좋음"
"2025-10-14","10:49","인천","남동구","호구포로","인천광역시 남동구 고잔동 793 도","인천광역시 남동구 만수동 산2-2 임","19","71","8","매우좋음"
"2025-10-14","10:08","인천","남동구","남동대로","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 고잔동 793 도","19","73","9","매우좋음"
"2025-10-14","14:30","서울","강남구","도산대로","서울특별시 강남구 청담동 77-4 도","서울특별시 강남구 논현동 280 도","22","62","3","매우좋음"
"2025-10-14","14:14","서울","강남구","학동로","서울특별시 강남구 논현동 280 도","서울특별시 강남구 청담동 139-33 도","21","65","3","매우좋음"
"2025-10-14","13:53","서울","강남구","봉은사로","서울특별시 강남구 삼성동 186-6천","서울특별시 강남구 역삼동 858 도","22","64","6","매우좋음"
"2025-10-14","12:30","서울","강남구","테헤란로","서울특별시 강남구 역삼동 858 도","서울특별시 강남구 삼성동 172-66 도","21","66","3","매우좋음"
"2025-10-14","12:15","서울","강남구","역삼로","서울특별시 강남구 대치동 1012-34 도","서울특별시 강남구 역삼동 858 도","20","67","2","매우좋음"
"2025-10-14","12:02","서울","강남구","도곡로","서울특별시 강남구 도곡동 958-2 도","서울특별시 강남구 대치동 78-28천","20","68","2","매우좋음"
"2025-10-14","11:51","서울","강남구","남부순환로","서울특별시 강남구 수서동 329-21 도","서울특별시 강남구 도곡동 207 도","20","69","33","매우좋음"
"2025-10-14","11:18","서울","강남구","선릉로","서울특별시 강남구 압구정동 495 도","서울특별시 강남구 개포동 146-1 도","20","70","4","매우좋음"
"2025-10-14","10:51","서울","강남구","영동대로","서울특별시 강남구 개포동 146-5 도","서울특별시 광진구 자양동 158-17천","20","71","11","매우좋음"
"2025-10-14","10:29","서울","강남구","삼성로","서울특별시 강남구 청담동 77 도","서울특별시 강남구 개포동 146-2 도","19","73","7","매우좋음"
"2025-10-14","10:18","서울","강남구","압구정로","서울특별시 강남구 압구정동 394 도","서울특별시 강남구 청담동 77 도","19","72","3","매우좋음"
"2025-10-14","15:47","인천","미추홀구","아암대로","인천광역시 미추홀구 학익동 587-115도","인천광역시 미추홀구 숭의동 443-1도","22","66","3","매우좋음"
"2025-10-14","15:25","인천","연수구","센트럴로","인천광역시 연수구 송도동 39 도","인천광역시 연수구 송도동 76 도","22","66","3","매우좋음"
"2025-10-14","15:15","인천","연수구","송도교육로","인천광역시 연수구 송도동 271 도","인천광역시 연수구 송도동 271 도","21","66","5","매우좋음"
"2025-10-14","15:07","인천","연수구","송도문화로84번길","인천광역시 연수구 송도동 264 도","인천광역시 연수구 송도동 198-3 도","21","66","3","매우좋음"
"2025-10-14","15:02","인천","연수구","송도문화로28번길","인천광역시 연수구 송도동 265 도","인천광역시 연수구 송도동 264 도","21","66","4","매우좋음"
"2025-10-14","14:54","인천","연수구","송도문화로","인천광역시 연수구 송도동 264 도","인천광역시 연수구 송도동 39 도","22","66","11","매우좋음"
"2025-10-14","14:43","인천","연수구","첨단대로","인천광역시 연수구 송도동 39 도","인천광역시 연수구 송도동 277 도","22","65","4","매우좋음"
"2025-10-14","14:34","인천","연수구","인천타워대로","인천광역시 연수구 송도동 78 도","인천광역시 연수구 송도동 39 도","21","65","2","매우좋음"
"2025-10-14","14:23","인천","연수구","아카데미로","인천광역시 연수구 송도동 39 도","인천광역시 연수구 송도동 143 도","22","65","3","매우좋음"
"2025-10-14","14:17","인천","연수구","송도미래로","인천광역시 연수구 송도동 287 도","인천광역시 연수구 송도동 39 도","22","65","7","매우좋음"
"2025-10-14","14:12","인천","연수구","지식기반로","인천광역시 연수구 송도동 39 도","인천광역시 연수구 송도동 295 도","21","65","6","매우좋음"
"2025-10-14","14:02","인천","연수구","송도국제대로","인천광역시 연수구 동춘동 916-3 도","인천광역시 연수구 송도동 39 도","22","64","4","매우좋음"
"2025-10-14","13:45","인천","연수구","경원대로","인천광역시 연수구 선학동 328-18 도","인천광역시 연수구 동춘동 916-3 도","21","66","4","매우좋음"
"2025-10-14","12:55","인천","미추홀구","석정로","인천광역시 미추홀구 숭의동 162-14도","인천광역시 미추홀구 주안동 40-4도","22","64","7","매우좋음"
